iter	RMSE
0	1.66244657
1	1.583828224
2	1.50930226
3	1.439983139
4	1.373824979
5	1.308854263
6	1.247759708
7	1.190153829
8	1.135644043
9	1.083834252
10	1.034525871
11	0.9876784534
12	0.942803631
13	0.9013087461
14	0.8606977303
15	0.8228050703
16	0.7870562677
17	0.7527113902
18	0.7201090229
19	0.6886088392
20	0.6586415943
21	0.6303783395
22	0.6043330964
23	0.5802576957
24	0.5563635077
25	0.5336957141
26	0.5125053374
27	0.492255962
28	0.4734785103
29	0.4555436888
30	0.4388085414
31	0.422964484
32	0.4079294867
33	0.39386611
34	0.3804757437
35	0.3680279279
36	0.3563813049
37	0.3454377548
38	0.3353254782
39	0.3257935906
40	0.316880657
41	0.3085478317
42	0.3005652672
43	0.2930922155
44	0.2859727316
45	0.2796224971
46	0.2736097576
47	0.2676363344
48	0.2623176153
49	0.2574863178
50	0.2529190103
51	0.2487362361
52	0.2446348537
53	0.2408938976
54	0.2374875016
55	0.2341752584
56	0.2311113465
57	0.2282945806
58	0.2256660905
59	0.2230844256
60	0.2205906357
61	0.2182684869
62	0.2155123085
63	0.2132180721
64	0.2110386528
65	0.2088700612
66	0.2070223064
67	0.2050246608
68	0.2034605359
69	0.2017275129
70	0.2000094917
71	0.1982634352
72	0.1969281472
73	0.1952623003
74	0.1937911561
75	0.1925999068
76	0.1913023454
77	0.1901282366
78	0.1885895165
79	0.187610628
80	0.1865737333
81	0.1852246307
82	0.1841534609
83	0.1829057276
84	0.1820823719
85	0.1811168571
86	0.1799157726
87	0.1788563896
88	0.178050331
89	0.1773554945
90	0.1766373415
91	0.1757477379
92	0.1751802466
93	0.174592817
94	0.1735367699
95	0.1729850214
96	0.1724817759
97	0.1718236575
98	0.171211808
99	0.1708144001
100	0.1703791597
101	0.1696940071
102	0.1690635309
103	0.168436745
104	0.1678893483
105	0.1675706451
106	0.1670128146
107	0.1661975208
108	0.1655618695
109	0.1649909187
110	0.1646338224
111	0.1640554927
112	0.1636426639
113	0.1632766643
114	0.1625185492
115	0.1621622956
116	0.1618519592
117	0.1612721279
118	0.160929773
119	0.1600627759
120	0.1592853018
121	0.1588365968
122	0.158212368
123	0.1579117924
124	0.1575631763
125	0.1573800811
126	0.1569036429
127	0.1566052666
128	0.1561482928
129	0.1556005591
130	0.1552245305
131	0.1548422283
132	0.15425205
133	0.1538258605
134	0.1536977557
135	0.1532466995
136	0.1529700484
137	0.1526991383
138	0.1522377903
139	0.151632191
140	0.1513542887
141	0.1511431327
142	0.1509135515
143	0.1504871043
144	0.1501141382
145	0.1496805227
146	0.14944206
147	0.1491562903
148	0.1487445847
149	0.1485277642
150	0.1482927533
151	0.1478541965
152	0.1475207491
153	0.1471945336
154	0.1468213939
155	0.1465866911
156	0.1462785057
157	0.1460227953
158	0.1456496208
159	0.1452341159
160	0.1449777876
161	0.1446188583
162	0.1444236182
163	0.1442350125
164	0.1441050835
165	0.1437444289
166	0.1435555376
167	0.1432807624
168	0.1430029165
169	0.1426522693
170	0.1424296849
171	0.1419515776
172	0.1416436124
173	0.1414177591
174	0.1412519475
175	0.14097454
176	0.1406844423
177	0.1404006377
178	0.1401063314
179	0.1398320365
180	0.1394851127
181	0.139125955
182	0.1387239265
183	0.1386097691
184	0.1383482459
185	0.1381187712
186	0.1380035686
187	0.1377538696
188	0.1374955403
189	0.1373012774
190	0.1371241932
191	0.1369380642
192	0.1367010082
193	0.1364607075
194	0.1362214826
195	0.1359474483
196	0.1358277372
197	0.135706095
198	0.1353441225
199	0.1350839284
200	0.1349047313
201	0.1347559029
202	0.134610144
203	0.1344673387
204	0.1342921964
205	0.134074372
206	0.1338419355
207	0.1336215327
208	0.1334186115
209	0.1330040403
210	0.1327539773
211	0.1326168694
212	0.1323911934
213	0.132201062
214	0.131741051
215	0.1314760825
216	0.1313292474
217	0.1312120408
218	0.1311077171
219	0.1309159298
220	0.1307158572
221	0.1305653046
222	0.1303961954
223	0.1302503184
224	0.1301350883
225	0.1300053911
226	0.1298267333
227	0.1296273647
228	0.1294859074
229	0.1291972748
230	0.1290206266
231	0.1287587583
232	0.1283246417
233	0.1280219719
234	0.127791804
235	0.1276208055
236	0.1274582065
237	0.1270334444
238	0.1269294862
239	0.1267651828
240	0.1266152359
241	0.12629046
242	0.1260513527
243	0.1259342983
244	0.1257582294
245	0.125574285
246	0.1254165995
247	0.1252867663
248	0.1251339121
249	0.1247935965
250	0.1243913586
251	0.124220153
252	0.124132112
253	0.1240038562
254	0.1238463094
255	0.1237063775
256	0.1233395889
257	0.1230037015
258	0.1229097618
259	0.1227668145
260	0.1226477141
261	0.1225188642
262	0.1223497758
263	0.1222080891
264	0.1218688874
265	0.1217230369
266	0.1214935672
267	0.1213404955
268	0.1209774564
269	0.1208492892
270	0.1207703132
271	0.1206838341
272	0.1205386028
273	0.1201937338
274	0.1200912164
275	0.1198364582
276	0.1196855286
277	0.1196257306
278	0.1194599784
279	0.1193750648
280	0.1191752648
281	0.1190455506
282	0.1189208847
283	0.1188038264
284	0.1186936238
285	0.1183971803
286	0.1183166681
287	0.1182323441
288	0.1181303054
289	0.1180197829
290	0.1177490461
291	0.1176281082
292	0.1175544845
293	0.1173461853
294	0.1170262285
295	0.1169431322
296	0.1167072956
297	0.116575644
298	0.1164812532
299	0.1163154702
300	0.1162269177
301	0.1161510534
302	0.1160392736
303	0.1159042879
304	0.1157753253
305	0.1157033324
306	0.1155063246
307	0.1153852185
308	0.1152678159
309	0.1151804159
310	0.1150976721
311	0.1149741945
312	0.1145984404
313	0.1145144673
314	0.1143814429
315	0.1142093115
316	0.1140903879
317	0.1140130953
318	0.1138463033
319	0.1137370611
320	0.1135045102
321	0.1134325505
322	0.1133667192
323	0.113257457
324	0.113055464
325	0.1129702558
326	0.1128729427
327	0.1127961923
328	0.1127335916
329	0.1126232756
330	0.112547567
331	0.1124384001
332	0.1123607176
333	0.1122138062
334	0.1121093408
335	0.1119433009
336	0.11186044
337	0.11174847
338	0.1115937252
339	0.1115218313
340	0.1112546237
341	0.1111931508
342	0.1110492259
343	0.1108317745
344	0.110641964
345	0.1105051312
346	0.1104024459
347	0.1102649609
348	0.1102009474
349	0.1100384177
350	0.109956863
351	0.1098004366
352	0.1096501943
353	0.1095376805
354	0.109426676
355	0.1093564345
356	0.1092514363
357	0.1091824371
358	0.1090381952
359	0.1089539467
360	0.108842715
361	0.1087338841
362	0.1085993531
363	0.1084579306
364	0.1084053669
365	0.1083468396
366	0.1081483152
367	0.107915689
368	0.1076849282
369	0.1074510459
370	0.1073771261
371	0.1072293238
372	0.1071794854
373	0.1070929739
374	0.1070280185
375	0.1068321617
376	0.1067362081
377	0.106541071
378	0.1064043467
379	0.1062271286
380	0.1060908461
381	0.1059396033
382	0.1058486244
383	0.1057805708
384	0.1056778365
385	0.1054391492
386	0.10532136
387	0.1052660289
388	0.1051580335
389	0.1050107004
390	0.1049418934
391	0.1048180225
392	0.1046080521
393	0.104419202
394	0.1042342518
395	0.1041165003
396	0.1040183653
397	0.1038611853
398	0.1037490283
399	0.1035383956
400	0.1034205329
401	0.1033124779
402	0.1031119441
403	0.103031365
404	0.1028932698
405	0.1028319854
406	0.1027284992
407	0.1025815825
408	0.1024009952
409	0.1023097031
410	0.1022521846
411	0.1021905899
412	0.1021043493
413	0.102019281
414	0.1019737488
415	0.1017987444
416	0.1016683625
417	0.1015728729
418	0.1014815827
419	0.1014040208
420	0.10134163
421	0.1012249147
422	0.1010660141
423	0.1009903525
424	0.1009243689
425	0.1008548105
426	0.1006557594
427	0.1005895298
428	0.1005467395
429	0.1003972295
430	0.1002478088
431	0.1001237045
432	0.1000415754
433	0.09992391108
434	0.09986494369
435	0.09978248359
436	0.09972528849
437	0.09959243904
438	0.09951755062
439	0.09938139788
440	0.09931045362
441	0.09917790595
442	0.09907342934
443	0.09890838738
444	0.09871651189
445	0.09867735949
446	0.09858190919
447	0.09851152044
448	0.09848295655
449	0.09835747247
450	0.09829745589
451	0.0982314903
452	0.0981749943
453	0.09803402368
454	0.09787470438
455	0.09770537537
456	0.09760021608
457	0.09752374626
458	0.09746309663
459	0.09739616996
460	0.09732097683
461	0.09719528448
462	0.09707711421
463	0.09695465687
464	0.09688390556
465	0.09680165285
466	0.09668426258
467	0.09662214377
468	0.09655565831
469	0.09651094565
470	0.09641166878
471	0.09633956186
472	0.09620327305
473	0.0961320783
474	0.095977253
475	0.09586631132
476	0.09578942095
477	0.09566446639
478	0.09557749997
479	0.09544048386
480	0.095329653
481	0.0952217255
482	0.09516512527
483	0.09509734352
484	0.09502361749
485	0.0949588834
486	0.09481455897
487	0.09475711879
488	0.09465194385
489	0.09452993182
490	0.09445801694
491	0.09433890027
492	0.09419658182
493	0.09413308491
494	0.09405303234
495	0.09401326955
496	0.09395083587
497	0.09386307074
498	0.09375929036
499	0.0937119083
500	0.09362558829
501	0.09356588483
502	0.0934691697
503	0.09340022001
504	0.09334644789
505	0.09329958911
506	0.09319612805
507	0.09313028508
508	0.09303431925
509	0.09286643104
510	0.09276027938
511	0.09270735836
512	0.09259158218
513	0.09253095877
514	0.09247201299
515	0.09238124774
516	0.09230072808
517	0.09222779562
518	0.09215659306
519	0.09203678129
520	0.0919407774
521	0.09183285402
522	0.09168987072
523	0.09163669119
524	0.09158926443
525	0.09151533428
526	0.0914309679
527	0.09136616576
528	0.09124083734
529	0.09115087453
530	0.09106573302
531	0.09101223621
532	0.09096511158
533	0.09090372943
534	0.09084433565
535	0.09076872308
536	0.09071627735
537	0.09059602199
538	0.09051009077
539	0.0904604092
540	0.09035786572
541	0.09024115144
542	0.09018950815
543	0.09012686726
544	0.09003001197
545	0.08992056242
546	0.08979796978
547	0.08971614458
548	0.08961823755
549	0.08952670887
550	0.08943931021
551	0.0893787599
