iter	Passed	Remaining
0	4	23062
1	8	20506
2	11	19318
3	15	18754
4	18	18484
5	23	19150
6	26	18794
7	29	18523
8	33	18623
9	37	18895
10	41	18702
11	44	18540
12	47	18392
13	51	18259
14	55	18489
15	59	18394
16	62	18369
17	66	18271
18	70	18363
19	73	18294
20	76	18241
21	80	18176
22	83	18092
23	87	18226
24	91	18187
25	95	18233
26	98	18204
27	103	18360
28	106	18308
29	110	18247
30	113	18195
31	117	18217
32	121	18260
33	124	18220
34	128	18163
35	131	18146
36	135	18207
37	139	18171
38	142	18134
39	145	18078
40	149	18107
41	153	18108
42	157	18130
43	163	18367
44	170	18719
45	173	18698
46	177	18654
47	180	18617
48	185	18722
49	188	18682
50	192	18643
51	195	18592
52	200	18695
53	203	18647
54	207	18628
55	210	18599
56	214	18586
57	217	18572
58	221	18538
59	224	18493
60	227	18449
61	231	18431
62	234	18412
63	238	18394
64	241	18365
65	245	18332
66	248	18331
67	252	18296
68	255	18269
69	258	18240
70	262	18211
71	266	18250
72	270	18230
73	273	18219
74	277	18192
75	281	18241
76	284	18206
77	287	18168
78	291	18139
79	294	18116
80	299	18159
81	302	18140
82	305	18123
83	309	18090
84	312	18071
85	316	18060
86	319	18044
87	322	18027
88	326	17999
89	329	18000
90	333	17976
91	336	17959
92	339	17933
93	343	17912
94	347	17919
95	350	17889
96	353	17874
97	356	17856
98	360	17829
99	364	17838
100	367	17832
101	371	17820
102	374	17796
103	377	17780
104	381	17774
105	384	17744
106	387	17726
107	390	17704
108	394	17689
109	398	17696
110	401	17684
111	404	17667
112	408	17677
113	412	17683
114	415	17658
115	419	17669
116	422	17651
117	426	17658
118	430	17648
119	433	17632
120	437	17621
121	440	17599
122	444	17640
123	449	17661
124	452	17655
125	455	17636
126	459	17633
127	462	17620
128	466	17596
129	469	17581
130	472	17567
131	476	17575
132	480	17566
133	483	17544
134	486	17522
135	489	17519
136	494	17538
137	497	17527
138	500	17514
139	504	17503
140	508	17530
141	512	17518
142	515	17503
143	518	17500
144	522	17488
145	526	17499
146	529	17482
147	532	17471
148	536	17459
149	540	17468
150	543	17457
151	547	17448
152	552	17493
153	555	17485
154	559	17486
155	562	17474
156	566	17463
157	569	17452
158	573	17455
159	576	17446
160	580	17432
161	583	17420
162	586	17406
163	590	17410
164	593	17397
165	596	17378
166	600	17370
167	603	17360
168	607	17371
169	611	17364
170	614	17352
171	617	17335
172	621	17327
173	624	17322
174	627	17308
175	630	17290
176	634	17281
177	637	17271
178	640	17264
179	644	17253
180	647	17244
181	650	17233
182	654	17225
183	657	17220
184	661	17206
185	664	17191
186	667	17179
187	671	17177
188	674	17171
189	677	17156
190	680	17144
191	684	17132
192	687	17132
193	691	17122
194	694	17108
195	697	17096
196	700	17086
197	704	17083
198	707	17076
199	711	17065
200	714	17058
201	718	17063
202	721	17056
203	725	17053
204	728	17039
205	731	17025
206	735	17027
207	738	17015
208	741	17004
209	745	16995
210	748	16987
211	752	17003
212	755	16989
213	758	16974
214	762	16965
215	765	16955
216	769	16964
217	772	16952
218	775	16939
219	779	16940
220	782	16927
221	786	16935
222	790	16938
223	794	16936
224	797	16934
225	801	16931
226	804	16921
227	808	16928
228	812	16932
229	817	16950
230	820	16947
231	824	16946
232	827	16939
233	831	16941
234	835	16935
235	838	16928
236	842	16926
237	845	16924
238	849	16922
239	852	16914
240	856	16922
241	861	16931
242	866	16967
243	871	16992
244	875	16995
245	879	17003
246	887	17074
247	892	17092
248	896	17097
249	903	17157
250	909	17203
251	914	17228
252	919	17251
253	922	17242
254	926	17239
255	930	17246
256	934	17237
257	937	17228
258	940	17217
259	943	17206
260	948	17214
261	951	17199
262	954	17185
263	957	17170
264	960	17159
265	963	17154
266	967	17144
267	970	17134
268	973	17124
269	977	17117
270	980	17104
271	983	17095
272	986	17084
273	990	17077
274	993	17066
275	997	17069
276	1000	17060
277	1003	17052
278	1007	17048
279	1011	17056
280	1015	17047
281	1018	17034
282	1021	17024
283	1024	17016
284	1028	17021
285	1032	17014
286	1035	17005
287	1038	16993
288	1042	16988
289	1045	16986
290	1049	16978
291	1052	16971
292	1055	16961
293	1059	16956
294	1063	16954
295	1066	16942
296	1069	16936
297	1072	16928
298	1076	16928
299	1079	16919
300	1083	16914
301	1086	16902
302	1089	16891
303	1093	16896
304	1097	16888
305	1100	16878
306	1103	16867
307	1106	16863
308	1111	16866
309	1114	16859
310	1117	16851
311	1120	16841
312	1124	16839
313	1128	16844
314	1131	16834
315	1135	16828
316	1138	16819
317	1142	16825
318	1146	16816
319	1149	16807
320	1152	16801
321	1156	16800
322	1159	16794
323	1163	16786
324	1166	16780
325	1169	16769
326	1172	16762
327	1176	16762
328	1179	16751
329	1183	16745
330	1186	16739
331	1190	16733
332	1193	16729
333	1196	16720
334	1199	16709
335	1203	16704
336	1207	16709
337	1210	16698
338	1214	16696
339	1217	16686
340	1220	16679
341	1224	16682
342	1228	16677
343	1231	16672
344	1235	16665
345	1238	16661
346	1241	16653
347	1245	16647
348	1248	16638
349	1251	16626
350	1254	16619
351	1258	16611
352	1261	16602
353	1264	16597
354	1267	16590
355	1271	16593
356	1275	16585
357	1278	16577
358	1281	16566
359	1284	16555
360	1288	16555
361	1291	16547
362	1294	16539
363	1297	16529
364	1300	16518
365	1304	16516
366	1307	16511
367	1311	16504
368	1314	16497
369	1317	16488
370	1321	16494
371	1325	16490
372	1328	16480
373	1331	16472
374	1335	16466
375	1338	16463
376	1342	16457
377	1345	16452
378	1348	16446
379	1352	16446
380	1355	16438
381	1358	16427
382	1362	16419
383	1365	16411
384	1368	16407
385	1373	16414
386	1376	16407
387	1379	16399
388	1382	16390
389	1387	16398
390	1390	16393
391	1393	16385
392	1397	16377
393	1401	16384
394	1404	16376
395	1408	16371
396	1411	16364
397	1414	16359
398	1418	16356
399	1421	16349
400	1425	16344
401	1428	16340
402	1433	16347
403	1436	16346
404	1441	16351
405	1445	16359
406	1450	16373
407	1453	16363
408	1457	16356
409	1460	16348
410	1464	16346
411	1467	16345
412	1471	16339
413	1474	16330
414	1477	16324
415	1481	16324
416	1484	16319
417	1488	16313
418	1491	16305
419	1494	16299
420	1498	16302
421	1502	16296
422	1505	16290
423	1508	16281
424	1511	16273
425	1516	16281
426	1519	16275
427	1524	16284
428	1529	16291
429	1532	16292
430	1536	16284
431	1539	16280
432	1542	16272
433	1546	16267
434	1549	16262
435	1552	16254
436	1555	16247
437	1559	16241
438	1563	16240
439	1566	16235
440	1569	16228
441	1573	16223
442	1576	16216
443	1579	16209
444	1583	16205
445	1586	16198
446	1589	16193
447	1592	16184
448	1596	16186
449	1600	16182
450	1603	16178
451	1607	16172
452	1610	16165
453	1614	16163
454	1617	16157
455	1620	16151
456	1623	16143
457	1627	16139
458	1631	16137
459	1634	16132
460	1637	16124
461	1641	16120
462	1644	16117
463	1648	16113
464	1651	16105
465	1654	16098
466	1657	16089
467	1661	16090
468	1664	16084
469	1667	16075
470	1671	16068
471	1674	16062
472	1678	16067
473	1681	16060
474	1685	16054
475	1688	16049
476	1692	16049
477	1696	16048
478	1699	16042
479	1702	16035
480	1705	16026
481	1709	16028
482	1713	16020
483	1716	16012
484	1719	16006
485	1722	15999
486	1726	15996
487	1729	15990
488	1732	15985
489	1736	15979
490	1739	15972
491	1742	15969
492	1746	15962
493	1749	15954
494	1752	15949
495	1755	15941
496	1760	15948
497	1763	15946
498	1767	15942
499	1770	15936
500	1773	15929
501	1777	15925
502	1780	15922
503	1784	15917
504	1787	15911
505	1791	15912
506	1794	15905
507	1798	15906
508	1802	15900
509	1805	15897
510	1809	15894
511	1812	15890
512	1815	15883
513	1819	15877
514	1823	15878
515	1826	15874
516	1830	15874
517	1834	15870
518	1837	15868
519	1841	15863
520	1845	15862
521	1848	15857
522	1851	15853
523	1855	15851
524	1859	15848
525	1862	15844
526	1866	15838
527	1869	15830
528	1872	15828
529	1875	15820
530	1878	15813
531	1882	15810
532	1886	15807
533	1889	15803
534	1892	15798
535	1896	15791
536	1899	15785
537	1903	15783
538	1906	15780
539	1910	15775
540	1913	15771
541	1916	15764
542	1921	15772
543	1924	15765
544	1927	15758
545	1931	15752
546	1934	15748
547	1938	15747
548	1941	15741
549	1944	15735
550	1948	15730
551	1951	15727
